City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,tidjikja,18.5564,-11.4271,95.45,14,91,6.98,MR,1683663530
225,enterprise,36.0252,-115.2419,82.65,7,75,10.36,US,1683663530
226,ambalangoda,6.2355,80.0538,80.19,83,100,8.12,LK,1683663530
227,yemva,62.59,50.8594,44.74,91,100,7.36,RU,1683663530
228,aasiaat,68.7098,-52.8699,29.93,76,100,4.68,GL,1683663531
229,uturoa,-16.7333,-151.4333,81.66,72,94,4.07,PF,1683663531
230,labuan,5.2767,115.2417,77.36,88,20,0.0,MY,1683663531
231,yukhnov,54.7444,35.2297,41.11,69,45,3.02,RU,1683663531
232,vilyuysk,63.7553,121.6247,39.78,96,100,10.33,RU,1683663531
233,linqu,36.5156,118.5397,59.95,29,99,2.26,CN,1683663532
234,road town,18.4167,-64.6167,86.04,66,40,10.36,VG,1683663266
235,galliano,29.4422,-90.2992,84.0,74,100,8.05,US,1683663532
236,i-n-salah,27.1935,2.4607,84.67,15,98,14.25,DZ,1683663532
237,sidney,-33.8679,151.2073,52.63,76,20,5.75,AU,1683663237
238,scarborough,54.2797,-0.4044,54.97,89,70,2.73,GB,1683663258
239,xilin hot,43.9667,116.0333,51.03,29,20,3.8,CN,1683663506
240,shengli,37.4564,118.4856,63.3,20,100,2.42,CN,1683663533
241,caxito,-8.5785,13.6643,75.74,96,1,1.63,AO,1683663533
242,matias romero,16.8833,-95.0333,102.56,29,8,9.08,MX,1683663533
243,cao bang,22.6667,106.25,70.39,99,100,2.13,VN,1683663533
244,neiafu,-18.65,-173.9833,79.48,89,20,2.3,TO,1683663534
245,chonchi,-42.6128,-73.8092,60.12,91,77,0.6,CL,1683663472
246,saint-pierre,-21.3393,55.4781,74.88,73,0,3.44,RE,1683663504
247,port augusta,-32.5,137.7667,49.66,84,0,4.38,AU,1683663534
248,isabela,6.7085,121.9711,81.19,81,76,4.88,PH,1683663534
249,queenstown,-31.8976,26.8753,52.34,50,3,4.23,ZA,1683663454
250,ocean city,39.2776,-74.5746,64.02,39,100,11.56,US,1683662990
251,proletar,40.167,69.504,57.74,67,0,2.24,TJ,1683663535
252,yuzhno-kurilsk,44.0306,145.8556,40.57,96,62,6.85,RU,1683663535
